update,avgR,doneEps,fps,KL,elite
1,-0.000711071,71,5562.86,0.00237349,819
2,-0.0042414,85,6796.76,0.000950372,1638
3,-0.00287135,81,6658.56,0.00126808,2457
4,-0.00238258,80,6713.16,0.00115284,3276
5,-0.00361194,84,6663.48,0.000912994,4095
6,-0.00315737,79,6625.87,0.00129655,4914
7,-0.00362103,81,6614.03,0.00261558,5733
8,-0.00288769,83,6620.46,0.00143097,6552
9,-0.00376662,87,6623.37,0.00189824,7371
10,-0.00174319,82,6155.98,0.0015373,8190
11,0.00526723,71,4809.68,0.00165562,9009
12,0.000989461,77,5476.53,0.000473463,9828
13,-0.00284276,83,5303.19,0.00138493,10647
14,-0.00274632,80,6506.15,0.00161701,11466
15,-0.00382221,84,6301.87,0.00212321,12285
16,-0.00345319,82,6226.42,0.0016146,13104
17,-0.00208791,80,6434.23,0.000797649,13923
18,-0.00430527,84,6439.59,0.00221022,14742
19,-0.00300501,83,6497.97,0.00142032,15561
20,-0.00318183,82,6448.36,0.000520022,16380
21,-0.00325806,86,6438.27,0.000413786,17199
22,-0.00103592,81,6411.8,0.000174333,18018
23,-0.00345834,83,6442.27,0.00104628,18837
24,2.8055e-05,79,6439.27,0.00207212,19656
25,-0.00289038,83,6448.18,0.000392082,20475
26,-0.0024506,84,6369.61,0.00102278,21294
27,-0.002619,81,6397.78,0.0011773,22113
28,-0.00356857,79,6449.79,0.0021469,22932
29,-0.0021706,83,6445.03,0.00203034,23751
30,-0.00169241,80,6460.72,0.00130431,24570
31,-0.00368452,82,6435.16,0.00258498,25389
32,-0.00318284,85,6409.26,0.00241576,26208
33,-0.00354116,83,6355.86,0.00138799,27027
34,-0.00281778,84,6424.19,0.000712875,27846
35,-0.00312304,84,6434.72,0.000123041,28665
36,-0.00301905,84,6400.43,0.000527951,29484
37,-0.00355265,80,6449.94,0.00193167,30303
38,-0.00102639,79,6379.73,0.00209167,31122
39,-0.00434217,82,6358.41,0.00110251,31941
40,-0.00280163,87,6275.54,0.00121045,32760
41,-0.00341146,82,6108.04,0.00132525,33579
42,-0.00294254,80,6390.89,0.000847646,34398
43,-0.00339601,87,6417.72,0.00165582,35217
44,-0.00184732,79,6429.09,0.00280399,36036
45,-0.00278949,81,6390.95,0.00122591,36855
46,-0.00155585,83,6129.94,0.00156317,37674
47,-0.00225986,82,6357.11,0.00236099,38493
48,-0.00292262,81,5898.71,0.000307527,39312
49,-0.00412865,81,6057.05,0.00096099,40131
50,-0.00421459,85,6379.8,0.00181878,40950
