update,avgR,doneEps,fps,KL,elite
1,-0.170195,258,5097.86,0.00107209,819
2,-0.165683,266,6471.08,0.000951593,1638
3,-0.165377,265,6505.86,0.000815105,2457
4,-0.164209,263,6473.07,0.00180968,3276
5,-0.162983,267,6387.19,0.00213171,4095
6,-0.170004,267,6400.9,0.00179641,4914
7,-0.168734,266,6354.26,0.00110277,5733
8,-0.163086,261,6423.7,0.00208125,6552
9,-0.165365,262,6420.19,0.00119429,7371
10,-0.161996,263,6432.02,0.000866913,8190
11,-0.167241,268,6430.83,0.00181439,9009
12,-0.168844,268,6439.42,0.00128837,9828
13,-0.1614,263,6352.43,-5.55752e-05,10647
14,-0.170518,270,6334.04,0.00184179,11466
15,-0.16792,265,6292.29,0.00180589,12285
16,-0.166022,264,6150.48,0.00136894,13104
17,-0.165119,263,6332.95,0.00170017,13923
18,-0.16484,262,6166.9,0.00148463,14742
19,-0.167125,263,5457.97,0.00152995,15561
20,-0.16521,266,6243.51,0.000461772,16380
21,-0.167257,262,6361.89,0.00146707,17199
22,-0.161659,267,6316.41,0.000239953,18018
23,-0.163711,262,6323.14,0.00115521,18837
24,-0.162933,263,6344.29,0.00137373,19656
25,-0.166869,264,6222.79,0.000450242,20475
26,-0.158496,262,6298.37,0.000993845,21294
27,-0.161262,263,6321.12,0.00086934,22113
28,-0.166883,265,6212.37,0.000489797,22932
29,-0.169679,261,5171.21,0.00194519,23751
30,-0.165393,265,6024.25,0.000856519,24570
31,-0.164251,265,6115.65,0.00175316,25389
32,-0.16803,261,6296.21,0.00145131,26208
33,-0.166208,268,6235.64,0.00196043,27027
34,-0.163903,268,6248.73,0.00176751,27846
35,-0.163435,261,6287.44,0.00123146,28665
36,-0.165025,264,6244.44,0.00218646,29484
37,-0.168873,263,6281.88,0.000656438,30303
38,-0.165402,269,6228.44,0.0020851,31122
39,-0.16376,264,6207.33,0.000814554,31941
40,-0.171572,271,6191.2,0.00161036,32760
41,-0.165763,262,6158.07,0.000785314,33579
42,-0.166978,266,5754.93,0.0021891,34398
43,-0.160554,262,6248.97,0.000879135,35217
44,-0.164245,267,6244.57,0.00104345,36036
45,-0.16583,266,6234.37,0.000920076,36855
46,-0.165245,264,6297.18,0.00209608,37674
47,-0.170922,267,6162.9,0.000417284,38493
48,-0.163256,259,5978.58,0.00119084,39312
49,-0.161909,267,6239.16,0.00133052,40131
50,-0.168826,268,6306.52,0.00183,40950
51,-0.163689,261,6278.14,0.00186689,41769
52,-0.167059,269,6251.5,0.000719819,42588
53,-0.161474,261,6187.31,0.00148403,43407
54,-0.159049,262,6224.76,0.00115387,44226
55,-0.163504,262,5877.17,0.00121883,45045
56,-0.169031,267,6197.37,0.00165867,45864
57,-0.163971,261,6019.21,0.00156047,46683
58,-0.169806,270,6229.27,0.0003087,47502
59,-0.162411,262,6181.04,0.00176871,48321
60,-0.171759,266,6242.04,0.0020612,49140
61,-0.160504,264,6092.1,0.00191784,49959
62,-0.159615,257,6186.89,0.00121658,50778
63,-0.167314,264,6104.45,0.00113411,51597
64,-0.165678,268,6277.34,-0.000296201,52416
65,-0.162367,260,6287.76,-7.67427e-05,53235
66,-0.164076,269,5016.27,0.00148426,54054
67,-0.164632,261,6225.65,0.00197954,54873
68,-0.168639,265,6126.45,0.00150008,55692
69,-0.164776,263,6248.54,0.000970668,56511
70,-0.168718,266,6287.43,0.00186514,57330
71,-0.165153,262,6146.58,0.0016438,58149
72,-0.166264,265,6275.94,0.00032179,58968
73,-0.168551,265,6280.44,0.00209145,59787
74,-0.162165,264,6228.27,0.000612127,60606
75,-0.163423,265,6353.99,0.000965019,61425
76,-0.167531,264,6294.55,0.0014421,62244
77,-0.163895,261,6292.06,0.000301032,63063
78,-0.165413,263,6308.46,-9.48733e-05,63882
79,-0.164559,267,6255.61,0.00150394,64701
80,-0.16485,261,6257.56,-4.965e-05,65520
81,-0.163578,263,6220.54,0.00138469,66339
82,-0.163919,264,6207.81,0.000180434,67158
83,-0.168488,265,6253.19,0.000881901,67977
84,-0.167456,263,6243.33,0.00283852,68796
85,-0.165552,268,6256,0.00104264,69615
86,-0.163428,260,6196.94,0.000635855,70434
87,-0.16412,259,6199.21,-2.28337e-05,71253
88,-0.164153,262,6182.87,-0.000326782,72072
89,-0.168163,267,6074.42,0.000726217,72891
90,-0.166063,267,6238.59,0.00107385,73710
91,-0.168216,263,6231.8,-1.78232e-05,74529
92,-0.160661,261,6261.07,0.00034875,75348
93,-0.161407,266,6252.94,0.000394317,76167
94,-0.166746,263,6307.09,0.000110963,76986
95,-0.169671,270,6238.25,-0.000273485,77805
96,-0.167735,265,6258.58,0.000209162,78624
97,-0.164653,265,6248.72,-8.63895e-05,79443
98,-0.167296,268,6295.48,4.48534e-05,80262
99,-0.161226,264,6057.06,2.03604e-05,81081
100,-0.163954,266,5901.13,-1.10595e-08,81900
